season,player,pfr_id,tm,age,pos,g,gs,int,tgt,cmp,cmp_percent,yds,yds_cmp,yds_tgt,td,rat,dadot,air,yac,bltz,hrry,qbkd,sk,prss,comb,m_tkl,m_tkl_percent,loaded
2023,James Bradberry,BradJa00,PHI,30,CB,16,16,1,101,60,0.594,740,12.3,7.3,11,114.3,10.4,521,219,3,0,0,0,0,54,6,0.1,2024-09-04
2023,Samson Ebukam,EbukSa00,IND,28,DE,17,17,0,8,6,0.75,12,2,1.5,0,77.1,-1.5,-20,32,10,3,8,9.5,21,57,6,0.095,2024-09-04
2023,Talanoa Hufanga,HufaTa00,SF,24,S,10,10,3,19,13,0.684,105,8.1,5.5,1,60.1,6.5,71,34,9,1,1,0,2,52,3,0.055,2024-09-04
2023,Marshon Lattimore,LattMa01,NO,27,CB,10,10,1,47,27,0.574,299,11.1,6.4,1,74.7,8.8,147,152,0,0,0,0,0,48,5,0.094,2024-09-04
2023,David Mayo,MayoDa00,WAS,30,LB,17,5,0,23,21,0.913,210,10,9.1,1,119.2,5.6,125,85,11,1,0,2,3,59,4,0.063,2024-09-04
2023,Quinnen Williams,WillQu00,NYJ,26,DL,17,17,1,2,1,0.5,4,4,2,0,16.7,-0.5,1,3,0,9,13,5.5,29,62,7,0.101,2024-09-04
2023,Xavier Woods,WoodXa00,CAR,28,S,14,14,2,41,26,0.634,223,8.6,5.4,1,65.4,8.5,119,104,2,0,0,0,0,61,7,0.103,2024-09-04
2023,Nick Bolton,BoltNi00,KC,23,LB,8,8,1,32,23,0.719,176,7.7,5.5,1,82.3,3.8,48,128,23,1,1,0,2,60,2,0.032,2024-09-04
2023,Sam Hubbard,HubbSa00,CIN,28,DE,15,15,0,5,5,1,39,7.8,7.8,0,99.2,-1.4,-7,46,3,5,11,6,22,58,1,0.017,2024-09-04
2023,Justin Madubuike,MaduJu00,BAL,26,DT,17,17,0,3,3,1,13,4.3,4.3,0,84.7,-0.7,-2,15,0,3,16,13,33,56,2,0.034,2024-09-04
2023,Amik Robertson,RobeAm00,LV,25,CB,17,12,2,66,39,0.591,531,13.6,8,3,87.4,9.9,244,287,4,0,0,1,1,50,5,0.091,2024-09-04
2023,Montez Sweat,SweaMo00,2TM,27,LDE-RDE,17,17,0,1,1,1,-1,-1,-1,0,79.2,-6,-6,5,0,11,13,12.5,40,57,3,0.05,2024-09-04
2023,Christian Wilkins,WilkCh00,MIA,28,LDE,17,17,0,3,2,0.667,11,5.5,3.7,0,72.9,-4.7,-7,18,0,6,14,9,30,65,5,0.071,2024-09-04
2023,Eli Apple,ApplEl00,MIA,28,CB,10,4,1,66,43,0.652,494,11.5,7.5,2,91.4,11.2,335,159,0,0,0,0.5,1,46,6,0.115,2024-09-04
2023,Michael Carter,CartMi02,NYJ,24,CB,15,7,0,62,32,0.516,299,9.3,4.8,1,70.6,7.8,116,183,13,3,1,0,4,50,5,0.091,2024-09-04
2023,Michael Carter,CartMi03,NYJ,24,CB,15,7,0,62,32,0.516,299,9.3,4.8,1,70.6,7.8,116,183,13,3,1,0,4,50,5,0.091,2024-09-04
2023,KeiTrel Clark,ClarKe02,ARI,22,CB,14,7,0,41,30,0.732,332,11.1,8.1,2,113.1,11.8,263,69,1,0,0,0,0,43,1,0.023,2024-09-04
2023,Kristian Fulton,FultKr00,TEN,25,CB,12,11,0,49,37,0.755,497,13.4,10.1,1,114.1,11,359,138,0,0,0,0,0,46,5,0.098,2024-09-04
2023,Micah Hyde,HydeMi00,BUF,33,S,14,14,2,37,26,0.703,316,12.2,8.5,3,100.7,11.3,234,82,16,0,1,0,1,54,6,0.1,2024-09-04
