Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
37,Jaylen Waddle,25,MIA,WR,14,14,7.43,5.14,72.4,14.1,0.29,3.36,58.7,60,5.1,72.4,69.2,9.8,0.00,,WaddJa00
38,Jake Ferguson,24,DAL,TE,17,16,6.00,4.18,44.8,10.7,0.29,2.35,55.9,40,4.2,44.8,69.6,7.5,0.00,PB,FergJa00
39,Jakobi Meyers,27,LVR,WR,16,16,6.63,4.44,50.4,11.4,0.50,2.88,54.7,33,4.4,50.4,67.0,7.6,0.00,,MeyeJa01
40,Jordan Addison,21,MIN,WR,17,14,6.35,4.12,53.6,13.0,0.59,2.24,50.0,62,4.1,53.6,64.8,8.4,0.00,,AddiJo00
41,Drake London,22,ATL,WR,16,16,6.88,4.31,56.6,13.1,0.13,2.81,52.7,45,4.3,56.6,62.7,8.2,0.00,,LondDr00
42,Josh Downs,22,IND,WR,17,9,5.76,4.00,45.4,11.3,0.12,1.76,50.0,59,4.0,45.4,69.4,7.9,0.00,,DownJo00
43,Justin Jefferson,24,MIN,WR,10,9,10.0,6.80,107.4,15.8,0.50,5.10,61.0,52,6.8,107.4,68.0,10.7,0.10,,JeffJu00
44,Tyler Boyd,29,CIN,WR,17,13,5.76,3.94,39.2,10.0,0.12,1.65,46.9,64,3.9,39.2,68.4,6.8,0.00,,BoydTy00
45,Christian McCaffrey,27,SFO,RB,16,16,5.19,4.19,35.3,8.4,0.44,1.94,55.4,41,4.2,35.3,80.7,6.8,0.19,PBAP-1AP MVP-3AP OPoY-1,McCaCh01
46,D.K. Metcalf,26,SEA,WR,16,16,7.44,4.13,69.6,16.9,0.50,3.25,51.3,73,4.1,69.6,55.5,9.4,0.00,PB,MetcDK00
47,George Kittle,30,SFO,TE,16,16,5.63,4.06,63.8,15.7,0.38,2.63,60.0,66,4.1,63.8,72.2,11.3,0.00,PBAP-1,KittGe00
48,Jayden Reed,23,GNB,WR,16,13,5.88,4.00,49.6,12.4,0.50,2.00,51.1,59,4.0,49.6,68.1,8.4,0.13,AP ORoY-6,ReedJa03
49,Rachaad White,24,TAM,RB,17,17,4.12,3.76,32.3,8.6,0.18,1.35,54.3,43,3.8,32.3,91.4,7.8,0.18,,WhitRa01
50,George Pickens,22,PIT,WR,17,16,6.24,3.71,67.1,18.1,0.29,2.47,50.9,86,3.7,67.1,59.4,10.8,0.18,,PickGe00
51,Jaxon Smith-Njigba,21,SEA,WR,17,3,5.47,3.71,36.9,10.0,0.24,1.71,47.3,35,3.7,36.9,67.7,6.8,0.00,,SmitJa06
52,Curtis Samuel,27,WAS,WR,16,13,5.69,3.88,38.3,9.9,0.25,1.63,50.5,37,3.9,38.3,68.1,6.7,0.00,,SamuCu00
53,Tyler Conklin,28,NYJ,TE,17,12,5.12,3.59,36.5,10.2,0.00,1.59,44.8,37,3.6,36.5,70.1,7.1,0.00,,ConkTy00
54,Jaylen Warren,25,PIT,RB,17,0,4.35,3.59,21.8,6.1,0.00,1.12,44.6,30,3.6,21.8,82.4,5.0,0.24,,WarrJa01
55,Wan'Dale Robinson,22,NYG,WR,15,8,5.20,4.00,35.0,8.8,0.07,1.93,53.8,33,4.0,35.0,76.9,6.7,0.00,,RobiWa01
56,Deebo Samuel,27,SFO,WR,15,15,5.93,4.00,59.5,14.9,0.47,2.27,56.2,54,4.0,59.5,67.4,10.0,0.07,,SamuDe00
57,Romeo Doubs,23,GNB,WR,17,16,5.65,3.47,39.6,11.4,0.47,2.41,51.0,36,3.5,39.6,61.5,7.0,0.06,,DoubRo00
58,Dallas Goedert,28,PHI,TE,14,14,5.93,4.21,42.3,10.0,0.21,2.36,60.2,49,4.2,42.3,71.1,7.1,0.00,,GoedDa00
59,Cooper Kupp,30,LAR,WR,12,12,7.92,4.92,61.4,12.5,0.42,2.75,49.5,62,4.9,61.4,62.1,7.8,0.00,,KuppCo00
60,Elijah Moore,23,CLE,WR,17,12,6.12,3.47,37.6,10.8,0.12,1.71,42.3,42,3.5,37.6,56.7,6.2,0.12,,MoorEl00
61,Dalton Schultz,27,HOU,TE,15,8,5.87,3.93,42.3,10.8,0.33,2.33,52.3,31,3.9,42.3,67.0,7.2,0.07,,SchuDa00
62,Courtland Sutton,28,DEN,WR,16,14,5.63,3.69,48.3,13.1,0.63,2.31,54.4,46,3.7,48.3,65.6,8.6,0.19,,SuttCo00
63,Travis Etienne,24,JAX,RB,17,17,4.29,3.41,28.0,8.2,0.06,1.35,49.3,56,3.4,28.0,79.5,6.5,0.00,AP OPoY-8,EtieTr00
64,Bijan Robinson,21,ATL,RB,17,16,5.06,3.41,28.6,8.4,0.24,1.41,45.3,71,3.4,28.6,67.4,5.7,0.24,AP ORoY-5,RobiBi01
65,Christian Kirk,27,JAX,WR,12,12,7.08,4.75,65.6,13.8,0.25,2.83,57.6,57,4.8,65.6,67.1,9.3,0.17,,KirkCh01
66,Tony Pollard,26,DAL,RB,17,17,3.94,3.24,18.3,5.7,0.00,0.71,43.3,60,3.2,18.3,82.1,4.6,0.18,,PollTo00
67,Logan Thomas,32,WAS,TE,16,15,4.88,3.44,31.0,9.0,0.25,1.31,56.4,29,3.4,31.0,70.5,6.4,0.13,,ThomLo00
68,Brandin Cooks,30,DAL,WR,16,15,5.06,3.38,41.1,12.2,0.50,2.38,59.3,37,3.4,41.1,66.7,8.1,0.06,,CookBr00
69,Jerry Jeudy,24,DEN,WR,16,11,5.44,3.38,47.4,14.0,0.13,1.75,46.0,47,3.4,47.4,62.1,8.7,0.06,,JeudJe00
70,Chigoziem Okonkwo,24,TEN,TE,17,11,4.53,3.18,31.1,9.8,0.06,1.47,48.1,39,3.2,31.1,70.1,6.9,0.00,,OkonCh00
71,Kyle Pitts,23,ATL,TE,17,15,5.29,3.12,39.2,12.6,0.18,2.06,52.2,39,3.1,39.2,58.9,7.4,0.00,,PittKy00
72,Jahmyr Gibbs,21,DET,RB,15,3,4.73,3.47,21.1,6.1,0.07,1.33,46.5,24,3.5,21.1,73.2,4.5,0.13,PBAP ORoY-4,GibbJa01
73,Joe Mixon,27,CIN,RB,17,17,3.76,3.06,22.1,7.2,0.18,0.82,54.7,45,3.1,22.1,81.3,5.9,0.00,,MixoJo00
74,Tyjae Spears,22,TEN,RB,17,1,4.12,3.06,22.6,7.4,0.06,1.00,34.3,48,3.1,22.6,74.3,5.5,0.06,,SpeaTy00
75,Darren Waller,31,NYG,TE,12,11,6.17,4.33,46.0,10.6,0.08,2.08,56.8,29,4.3,46.0,70.3,7.5,0.00,,WallDa01
76,Marquise Brown,26,ARI,WR,14,14,7.21,3.64,41.0,11.3,0.29,2.29,42.6,41,3.6,41.0,50.5,5.7,0.00,,BrowMa04
77,Austin Ekeler,28,LAC,RB,14,14,5.29,3.64,31.1,8.5,0.07,1.43,43.2,39,3.6,31.1,68.9,5.9,0.36,,EkelAu00
78,Ezekiel Elliott,28,NWE,RB,17,5,3.82,3.00,18.4,6.1,0.12,0.71,40.0,23,3.0,18.4,78.5,4.8,0.12,,ElliEz00
79,Gerald Everett,29,LAC,TE,15,12,4.67,3.40,27.4,8.1,0.20,1.67,50.0,31,3.4,27.4,72.9,5.9,0.20,,EverGe00
80,Diontae Johnson,27,PIT,WR,13,11,6.69,3.92,55.2,14.1,0.38,2.85,52.9,71,3.9,55.2,58.6,8.2,0.08,,JohnDi01
81,Samaje Perine,28,DEN,RB,17,1,3.29,2.94,26.8,9.1,0.00,1.35,67.9,29,2.9,26.8,89.3,8.1,0.18,,PeriSa00
82,Darius Slayton,26,NYG,WR,17,13,4.65,2.94,45.3,15.4,0.24,1.71,49.4,80,2.9,45.3,63.3,9.7,0.00,,SlayDa01
83,Jonnu Smith,28,ATL,TE,17,6,4.12,2.94,34.2,11.6,0.18,1.53,51.4,60,2.9,34.2,71.4,8.3,0.06,,SmitJo01
84,Jahan Dotson,23,WAS,WR,17,16,4.88,2.88,30.5,10.6,0.24,1.59,48.2,33,2.9,30.5,59.0,6.2,0.00,,DotsJa00
85,Demario Douglas,23,NWE,WR,14,7,5.64,3.50,40.1,11.4,0.00,1.86,45.6,42,3.5,40.1,62.0,7.1,0.21,,DougDe00
86,Antonio Gibson,25,WAS,RB,16,2,3.69,3.00,24.3,8.1,0.13,1.19,44.1,41,3.0,24.3,81.4,6.6,0.25,,GibsAn00
87,K.J. Osborn,26,MIN,WR,16,12,4.69,3.00,33.8,11.3,0.19,1.75,45.3,47,3.0,33.8,64.0,7.2,0.06,,OsboKJ00
