Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
28,Jaylen Waddle,24,MIA,WR,17,17,6.88,4.41,79.8,3.53,49.8,11.3,30.0,6.8,11.8,0.24,18.8,0.41,6.0,0.12,119.5,,WaddJa00
29,Tee Higgins,23,CIN,WR,16,14,6.81,4.63,64.3,2.94,46.4,10.0,17.9,3.9,10.9,0.13,37.0,0.50,7.3,0.06,115.6,,HiggTe00
30,Mark Andrews,27,BAL,TE,15,15,7.53,4.87,56.5,3.20,40.3,8.3,16.2,3.3,9.7,0.07,73.0,0.53,7.1,0.20,90.8,PB,AndrMa00
31,Evan Engram,28,JAX,TE,17,14,5.76,4.29,45.1,1.94,17.7,4.1,27.4,6.4,6.3,0.29,14.6,0.29,5.1,0.00,110.3,,EngrEv00
32,Leonard Fournette,27,TAM,RB,16,9,5.19,4.56,32.7,1.63,-2.50,-0.5,35.2,7.7,-0.6,0.81,5.6,0.25,4.8,0.00,105.0,,FourLe00
33,Tyler Higbee,29,LAR,TE,17,17,6.35,4.24,36.5,1.88,12.7,3.0,23.8,5.6,3.0,0.18,24.0,0.41,6.5,0.18,79.2,,HigbTy00
34,Drake London,21,ATL,WR,17,15,6.88,4.24,50.9,2.82,37.4,8.8,13.6,3.2,10.4,0.06,72.0,0.18,2.6,0.18,84.9,,LondDr00
35,Chris Olave,22,NOR,WR,15,9,7.93,4.80,69.5,3.20,55.5,11.6,14.0,2.9,14.2,0.13,36.0,0.47,5.9,0.33,82.7,AP ORoY-4,OlavCh00
36,Josh Palmer,23,LAC,WR,16,11,6.69,4.50,48.1,2.44,32.1,7.1,15.9,3.5,8.7,0.06,72.0,0.38,5.6,0.13,89.7,,PalmJo00
37,Adam Thielen,32,MIN,WR,17,17,6.29,4.12,42.1,2.65,33.2,8.1,8.94,2.2,9.7,0.06,70.0,0.12,1.9,0.18,91.5,,ThieAd00
38,Rhamondre Stevenson,24,NWE,RB,17,7,5.18,4.06,24.8,0.76,-3.12,-0.8,27.9,6.9,0.0,0.65,6.3,0.41,8.0,0.00,90.4,,StevRh00
39,Marquise Brown,25,ARI,WR,12,10,8.92,5.58,59.1,2.75,39.4,7.1,19.7,3.5,11.3,0.08,67.0,0.33,3.7,0.58,64.0,,BrowMa04
40,Jerry Jeudy,23,DEN,WR,15,14,6.67,4.47,64.8,2.73,38.7,8.7,26.1,5.9,11.5,0.20,22.3,0.33,5.0,0.13,110.1,,JeudJe00
41,Jakobi Meyers,26,NWE,WR,14,13,6.86,4.79,57.4,2.71,40.6,8.5,16.9,3.5,9.9,0.07,67.0,0.29,4.2,0.00,116.0,,MeyeJa01
42,Keenan Allen,30,LAC,WR,10,10,8.90,6.60,75.2,3.90,48.9,7.4,26.3,4.0,8.6,0.10,66.0,0.20,2.2,0.20,104.7,,AlleKe00
43,DeAndre Hopkins,30,ARI,WR,9,9,10.7,7.11,79.7,3.89,61.3,8.6,18.3,2.6,10.2,0.11,64.0,0.56,5.2,0.33,86.2,,HopkDe00
