Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
209,Dante Pettis,27,CHI,WR,17,7,41,19,245,9,182,9.6,63,3.3,9.0,1,19.0,4,9.8,1,79.8,,PettDa00
210,Tre'Quan Smith,26,NOR,WR,15,6,27,19,278,14,212,11.2,66,3.5,12.3,2,9.5,3,11.1,2,85.1,,SmitTr03
212,Tutu Atwell,23,LAR,WR,13,4,35,18,298,11,238,13.2,60,3.3,17.8,2,9.0,1,2.9,1,78.0,,AtweTu00
213,Braxton Berrios,27,NYJ,WR,17,2,32,18,145,8,53,2.9,92,5.1,6.8,1,18.0,3,9.4,1,54.8,,BerrBr00
224,Marquez Callaway,24,NOR,WR,14,3,32,16,158,11,123,7.7,35,2.2,12.4,0,,3,9.4,2,48.7,,CallMa01
228,Michael Thomas,29,NOR,WR,3,3,22,16,171,13,150,9.4,21,1.3,10.8,0,,1,4.5,0,134.7,,ThomMi05
230,Kadarius Toney,23,2TM,WR,9,4,20,16,171,8,63,3.9,108,6.8,3.8,4,4.0,2,10.0,0,135.6,,ToneKa00
230,Kadarius Toney,23,NYG,WR,2,1,3,2,0,0,-6,-3.0,6,3.0,-2.3,0,,1,33.3,0,70.1,,ToneKa00
230,Kadarius Toney,23,KAN,WR,7,3,17,14,171,8,69,4.9,102,7.3,4.8,4,3.5,1,5.9,0,147.8,,ToneKa00
231,Sammy Watkins,29,2TM,WR,12,5,27,16,325,11,199,12.4,126,7.9,13.1,0,,2,7.4,0,101.6,,WatkSa00
231,Sammy Watkins,29,GNB,WR,9,3,22,13,206,9,142,10.9,64,4.9,12.0,0,,2,9.1,0,90.3,,WatkSa00
231,Sammy Watkins,29,BAL,WR,3,2,5,3,119,2,57,19.0,62,20.7,18.0,0,,0,0.0,0,104.2,,WatkSa00
