Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
167,Kadarius Toney,24,KAN,WR,13,2,38,27,169,6.3,1,12,44.7,18.0,2.1,13.0,71.1,4.4,1,,ToneKa00
168,Justin Watson,27,KAN,WR,16,8,53,27,460,17.0,3,21,50.9,41.0,1.7,28.8,50.9,8.7,1,,WatsJu01
169,Demarcus Robinson,29,LAR,WR,16,4,39,26,371,14.3,4,20,59.0,37.0,1.6,23.2,66.7,9.5,2,,RobiDe01
172,Trenton Irwin,28,CIN,WR,16,5,32,25,316,12.6,1,15,59.4,32.0,1.6,19.8,78.1,9.9,2,,IrwiTr00
176,Hunter Renfrow,28,LVR,WR,17,3,37,25,255,10.2,0,11,40.5,38.0,1.5,15.0,67.6,6.9,1,,RenfHu00
177,Greg Dortch,25,ARI,WR,16,4,41,24,280,11.7,2,14,48.8,38.0,1.5,17.5,58.5,6.8,0,,DortGr01
178,Jameson Williams,22,DET,WR,12,10,42,24,354,14.8,2,14,47.6,63.0,2.0,29.5,57.1,8.4,1,,WillJa11
181,Jalin Hyatt,22,NYG,WR,17,7,40,23,373,16.2,0,11,47.5,58.0,1.4,21.9,57.5,9.3,1,,HyatJa00
182,Allen Lazard,28,NYJ,WR,14,12,49,23,311,13.5,1,17,40.8,39.0,1.6,22.2,46.9,6.3,0,,LazaAl00
186,Marvin Mims,21,DEN,WR,16,7,33,22,377,17.1,1,9,48.5,60.0,1.4,23.6,66.7,11.4,2,PBAP-2,MimsMa00
187,Chris Moore,30,TEN,WR,17,5,35,22,424,19.3,0,16,54.3,49.0,1.3,24.9,62.9,12.1,1,,MoorCh00
190,Jalen Tolbert,24,DAL,WR,17,6,36,22,268,12.2,2,13,55.6,45.0,1.3,15.8,61.1,7.4,1,,TolbJa00
192,Cedrick Wilson Jr.,28,MIA,WR,15,3,38,22,296,13.5,3,14,47.4,31.0,1.5,19.7,57.9,7.8,0,,WilsCe01
195,Xavier Gipson,22,NYJ,WR,17,3,38,21,229,10.9,0,9,34.2,36.0,1.2,13.5,55.3,6.0,5,,GipsXa00
196,Isaiah Hodgins,25,NYG,WR,17,9,33,21,230,11.0,3,12,63.6,24.0,1.2,13.5,63.6,7.0,1,,HodgIs00
197,Skyy Moore,23,KAN,WR,14,8,38,21,244,11.6,1,13,44.7,54.0,1.5,17.4,55.3,6.4,0,,MoorSk01
199,Cedric Tillman,23,CLE,WR,14,3,44,21,224,10.7,0,12,40.9,23.0,1.5,16.0,47.7,5.1,0,,TillCe01
200,Marquez Valdes-Scantling,29,KAN,WR,16,10,42,21,315,15.0,1,14,40.5,46.0,1.3,19.7,50.0,7.5,1,,ValdMa00
201,Parris Campbell,26,NYG,WR,12,3,27,20,104,5.2,0,2,37.0,17.0,1.7,8.7,74.1,3.9,0,,CampPa00
203,Van Jefferson,27,2TM,WR,17,9,43,20,209,10.5,0,10,37.2,46.0,1.2,12.3,46.5,4.9,0,,JeffVa00
203,Van Jefferson,27,LAR,WR,5,4,15,8,108,13.5,0,4,33.3,46.0,1.6,21.6,53.3,7.2,0,,JeffVa00
203,Van Jefferson,27,ATL,WR,12,5,28,12,101,8.4,0,6,39.3,14.0,1.0,8.4,42.9,3.6,0,,JeffVa00
206,Jake Bobo,25,SEA,WR,17,0,25,19,196,10.3,2,9,60.0,31.0,1.1,11.5,76.0,7.8,0,,BoboJa00
207,Jauan Jennings,26,SFO,WR,13,2,33,19,265,13.9,1,12,48.5,31.0,1.5,20.4,57.6,8.0,0,,JennJa00
208,Brandon Johnson,25,DEN,WR,13,2,30,19,284,14.9,4,12,60.0,50.0,1.5,21.8,63.3,9.5,0,,JohnBr23
209,Terrace Marshall Jr.,23,CAR,WR,9,4,33,19,139,7.3,0,8,45.5,14.0,2.1,15.4,57.6,4.2,1,,MarsTe00
211,Tre Tucker,22,LVR,WR,16,1,34,19,331,17.4,2,12,41.2,50.0,1.2,20.7,55.9,9.7,0,,TuckTr00
212,Mike Williams,29,LAC,WR,3,3,26,19,249,13.1,1,9,53.8,49.0,6.3,83.0,73.1,9.6,0,,WillMi07
214,Mack Hollins,30,ATL,WR,13,3,30,18,251,13.9,0,9,46.7,45.0,1.4,19.3,60.0,8.4,0,,HollMa00
219,Calvin Austin III,24,PIT,WR,17,1,30,17,180,10.6,1,7,40.0,72.0,1.0,10.6,56.7,6.0,2,,AustCa00
227,Tyler Scott,22,CHI,WR,17,4,32,17,168,9.9,0,10,43.8,30.0,1.0,9.9,53.1,5.3,1,,ScotTy00
228,Deven Thompkins,24,TAM,WR,17,1,25,17,83,4.9,1,5,32.0,26.0,1.0,4.9,68.0,3.3,3,,ThomDe07
230,Treylon Burks,23,TEN,WR,11,9,30,16,221,13.8,0,8,43.3,70.0,1.5,20.1,53.3,7.4,0,,BurkTr00
231,Jamison Crowder,30,WAS,WR,17,0,20,16,159,9.9,1,8,60.0,26.0,0.9,9.4,80.0,8.0,2,,CrowJa00
232,Alex Erickson,31,LAC,WR,8,3,29,16,232,14.5,1,12,48.3,27.0,2.0,29.0,55.2,8.0,0,,EricAl01
233,Bo Melton,24,GNB,WR,5,1,24,16,218,13.6,1,13,62.5,37.0,3.2,43.6,66.7,9.1,0,,MeltBo00
234,John Metchie,23,HOU,WR,16,0,30,16,158,9.9,0,7,43.3,22.0,1.0,9.9,53.3,5.3,0,,MetcJo00
237,Parker Washington,21,JAX,WR,9,1,21,16,132,8.3,2,5,52.4,19.0,1.8,14.7,76.2,6.3,2,,WashPa01
240,Derius Davis,23,LAC,WR,17,2,17,15,66,4.4,0,0,23.5,18.0,0.9,3.9,88.2,3.9,3,AP-2,DaviDe02
241,Deonte Harty,26,BUF,WR,16,1,21,15,150,10.0,1,9,52.4,43.0,0.9,9.4,71.4,7.1,2,,HarrDe07
242,Malik Heath,23,GNB,WR,13,1,24,15,125,8.3,1,6,41.7,16.0,1.2,9.6,62.5,5.2,0,,HeatMa00
244,Andrei Iosivas,24,CIN,WR,16,1,25,15,116,7.7,4,11,60.0,16.0,0.9,7.3,60.0,4.6,0,,IosiAn00
245,Kyle Philips,24,TEN,WR,9,0,22,15,181,12.1,0,9,50.0,29.0,1.7,20.1,68.2,8.2,1,,PhilKy01
246,Quez Watkins,25,PHI,WR,9,5,21,15,142,9.5,1,8,61.9,19.0,1.7,15.8,71.4,6.8,0,,WatkQu00
248,Mecole Hardman,25,2TM,WR,11,2,24,15,124,8.3,0,8,50.0,37.0,1.4,11.3,62.5,5.2,1,,HardMe00
248,Mecole Hardman,25,NYJ,WR,5,0,3,1,6,6.0,0,0,33.3,6.0,0.2,1.2,33.3,2.0,0,,HardMe00
248,Mecole Hardman,25,KAN,WR,6,2,21,14,118,8.4,0,8,52.4,37.0,2.3,19.7,66.7,5.6,1,,HardMe00
249,Jamal Agnew,28,JAX,WR,11,1,21,14,225,16.1,1,8,57.1,65.0,1.3,20.5,66.7,10.7,1,,AgneJa00
250,David Bell,23,CLE,WR,15,3,23,14,167,11.9,3,9,47.8,41.0,0.9,11.1,60.9,7.3,0,,BellDa02
254,KhaDarel Hodge,28,ATL,WR,17,4,23,14,232,16.6,0,13,60.9,52.0,0.8,13.6,60.9,10.1,1,,HodgKh00
256,Byron Pringle,30,WAS,WR,17,1,22,14,161,11.5,0,7,40.9,26.0,0.8,9.5,63.6,7.3,1,,PrinBy00
262,Lil'Jordan Humphrey,25,DEN,WR,17,8,19,13,162,12.5,3,9,63.2,54.0,0.8,9.5,68.4,8.5,0,,HumpLi01
265,Tyquan Thornton,23,NWE,WR,9,3,23,13,91,7.0,0,3,17.4,15.0,1.4,10.1,56.5,4.0,0,,ThorTy00
267,Donovan Peoples-Jones,24,2TM,WR,15,6,25,13,155,11.9,0,7,40.0,29.0,0.9,10.3,52.0,6.2,1,,PeopDo00
267,Donovan Peoples-Jones,24,CLE,WR,7,5,18,8,97,12.1,0,4,38.9,29.0,1.1,13.9,44.4,5.4,1,,PeopDo00
267,Donovan Peoples-Jones,24,DET,WR,8,1,7,5,58,11.6,0,3,42.9,20.0,0.6,7.3,71.4,8.3,0,,PeopDo00
268,Dyami Brown,24,WAS,WR,17,1,23,12,168,14.0,1,8,47.8,35.0,0.7,9.9,52.2,7.3,0,,BrowDy00
270,Ray-Ray McCloud,27,SFO,WR,12,1,15,12,135,11.3,0,7,66.7,41.0,1.0,11.3,80.0,9.0,1,,McClRa00
271,A.T. Perry,24,NOR,WR,10,3,18,12,246,20.5,4,10,61.1,44.0,1.2,24.6,66.7,13.7,0,,PerrAT00
273,KaVontae Turpin,27,DAL,WR,16,0,18,12,127,10.6,3,9,61.1,34.0,0.8,7.9,66.7,7.1,1,,TurpKa00
276,Lynn Bowden Jr.,26,NOR,WR,15,3,16,11,83,7.5,0,2,37.5,17.0,0.7,5.5,68.8,5.2,1,,BowdLy00
278,Julio Jones,34,PHI,WR,11,4,19,11,74,6.7,3,4,31.6,22.0,1.0,6.7,57.9,3.9,0,,JoneJu02
279,Tim Jones,25,JAX,WR,17,2,18,11,83,7.5,0,4,38.9,15.0,0.6,4.9,61.1,4.6,0,,JoneTi00
280,Isaiah McKenzie,28,IND,WR,13,2,14,11,82,7.5,0,4,35.7,30.0,0.8,6.3,78.6,5.9,3,,McKeIs00
281,Scott Miller,26,ATL,WR,17,0,16,11,161,14.6,2,6,50.0,56.0,0.6,9.5,68.8,10.1,0,,MillSc01
282,Trent Sherfield,27,BUF,WR,17,1,22,11,86,7.8,1,4,40.9,12.0,0.6,5.1,50.0,3.9,0,,SherTr00
288,Jalen Guyton,26,LAC,WR,8,3,21,10,89,8.9,1,6,38.1,18.0,1.3,11.1,47.6,4.2,0,,GuytJa01
290,Richie James,28,KAN,WR,9,1,14,10,114,11.4,0,5,57.1,45.0,1.1,12.7,71.4,8.1,2,,JameRi00
293,Laviska Shenault Jr.,25,CAR,WR,8,0,10,10,60,6.0,0,2,30.0,14.0,1.3,7.5,100.0,6.0,1,,ShenLa00
