Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards,-9999
57,Romeo Doubs,23,GNB,WR,17,16,5.65,3.47,39.6,11.4,0.47,2.41,51.0,36.0,3.5,39.6,61.5,7.0,0.06,,DoubRo00
59,Cooper Kupp,30,LAR,WR,12,12,7.92,4.92,61.4,12.5,0.42,2.75,49.5,62.0,4.9,61.4,62.1,7.8,0.0,,KuppCo00
60,Elijah Moore,23,CLE,WR,17,12,6.12,3.47,37.6,10.8,0.12,1.71,42.3,42.0,3.5,37.6,56.7,6.2,0.12,,MoorEl00
62,Courtland Sutton,28,DEN,WR,16,14,5.63,3.69,48.3,13.1,0.63,2.31,54.4,46.0,3.7,48.3,65.6,8.6,0.19,,SuttCo00
65,Christian Kirk,27,JAX,WR,12,12,7.08,4.75,65.6,13.8,0.25,2.83,57.6,57.0,4.8,65.6,67.1,9.3,0.17,,KirkCh01
68,Brandin Cooks,30,DAL,WR,16,15,5.06,3.38,41.1,12.2,0.5,2.38,59.3,37.0,3.4,41.1,66.7,8.1,0.06,,CookBr00
69,Jerry Jeudy,24,DEN,WR,16,11,5.44,3.38,47.4,14.0,0.13,1.75,46.0,47.0,3.4,47.4,62.1,8.7,0.06,,JeudJe00
76,Marquise Brown,26,ARI,WR,14,14,7.21,3.64,41.0,11.3,0.29,2.29,42.6,41.0,3.6,41.0,50.5,5.7,0.0,,BrowMa04
80,Diontae Johnson,27,PIT,WR,13,11,6.69,3.92,55.2,14.1,0.38,2.85,52.9,71.0,3.9,55.2,58.6,8.2,0.08,,JohnDi01
82,Darius Slayton,26,NYG,WR,17,13,4.65,2.94,45.3,15.4,0.24,1.71,49.4,80.0,2.9,45.3,63.3,9.7,0.0,,SlayDa01
84,Jahan Dotson,23,WAS,WR,17,16,4.88,2.88,30.5,10.6,0.24,1.59,48.2,33.0,2.9,30.5,59.0,6.2,0.0,,DotsJa00
85,Demario Douglas,23,NWE,WR,14,7,5.64,3.5,40.1,11.4,0.0,1.86,45.6,42.0,3.5,40.1,62.0,7.1,0.21,,DougDe00
87,K.J. Osborn,26,MIN,WR,16,12,4.69,3.0,33.8,11.3,0.19,1.75,45.3,47.0,3.0,33.8,64.0,7.2,0.06,,OsboKJ00
88,Tank Dell,24,HOU,WR,11,8,6.82,4.27,64.5,15.1,0.64,3.09,54.7,68.0,4.3,64.5,62.7,9.5,0.09,,DellNa00
92,Rashid Shaheed,25,NOR,WR,15,8,5.0,3.07,47.9,15.6,0.33,1.8,46.7,58.0,3.1,47.9,61.3,9.6,0.07,PBAP-1,ShahRa00
94,Gabriel Davis,24,BUF,WR,17,17,4.76,2.65,43.9,16.6,0.41,2.0,53.1,57.0,2.6,43.9,55.6,9.2,0.06,,DaviGa01
98,Jonathan Mingo,22,CAR,WR,15,14,5.67,2.87,27.9,9.7,0.0,1.0,32.9,40.0,2.9,27.9,50.6,4.9,0.07,,MingJo00
100,Tee Higgins,24,CIN,WR,12,11,6.33,3.5,54.7,15.6,0.42,2.75,53.9,80.0,3.5,54.7,55.3,8.6,0.0,,HiggTe00
102,Rondale Moore,23,ARI,WR,17,8,3.65,2.35,20.7,8.8,0.06,1.0,38.7,48.0,2.4,20.7,64.5,5.7,0.06,,MoorRo02
103,Josh Reynolds,28,DET,WR,17,13,3.76,2.35,35.8,15.2,0.29,1.88,56.3,33.0,2.4,35.8,62.5,9.5,0.06,,ReynJo00
104,Robert Woods,31,HOU,WR,14,11,5.36,2.86,30.4,10.7,0.07,1.86,45.3,26.0,2.9,30.4,53.3,5.7,0.0,,WoodRo02
105,Tutu Atwell,24,LAR,WR,16,14,4.19,2.44,30.2,12.4,0.19,1.63,47.8,44.0,2.4,30.2,58.2,7.2,0.0,,AtweTu00
108,Trey Palmer,22,TAM,WR,17,8,4.0,2.29,22.6,9.9,0.18,1.0,41.2,54.0,2.3,22.6,57.4,5.7,0.18,,PalmTr00
109,Khalil Shakir,23,BUF,WR,17,10,2.65,2.29,35.9,15.7,0.12,1.53,73.3,81.0,2.3,35.9,86.7,13.6,0.06,,ShakKh00
111,Michael Thomas,30,NOR,WR,10,7,6.4,3.9,44.8,11.5,0.1,2.1,54.7,31.0,3.9,44.8,60.9,7.0,0.0,,ThomMi05
112,Dontayvion Wicks,22,GNB,WR,15,6,3.87,2.6,38.7,14.9,0.27,1.93,62.1,35.0,2.6,38.7,67.2,10.0,0.2,,WickDo00
113,Quentin Johnston,22,LAC,WR,17,10,3.94,2.24,25.4,11.3,0.12,1.18,47.8,57.0,2.2,25.4,56.7,6.4,0.0,,JohnQu02
114,Josh Palmer,24,LAC,WR,10,6,6.1,3.8,58.1,15.3,0.2,2.2,47.5,79.0,3.8,58.1,62.3,9.5,0.1,,PalmJo00
116,Michael Wilson,23,ARI,WR,13,12,4.46,2.92,43.5,14.9,0.23,2.23,56.9,69.0,2.9,43.5,65.5,9.7,0.0,,WilsMi02
117,Kendrick Bourne,28,NWE,WR,8,5,6.88,4.63,50.8,11.0,0.5,1.88,49.1,36.0,4.6,50.8,67.3,7.4,0.13,,BourKe00
121,Nelson Agholor,30,BAL,WR,17,3,2.65,2.06,22.4,10.9,0.24,1.12,55.6,37.0,2.1,22.4,77.8,8.5,0.06,,AghoNe00
122,Odell Beckham Jr.,31,BAL,WR,14,6,4.57,2.5,40.4,16.1,0.21,1.93,50.0,51.0,2.5,40.4,54.7,8.8,0.07,,BeckOd00
123,DJ Chark,27,CAR,WR,15,11,4.4,2.33,35.0,15.0,0.33,1.47,43.9,47.0,2.3,35.0,53.0,8.0,0.13,,CharDJ00
124,Kalif Raymond,29,DET,WR,17,3,2.59,2.06,28.8,14.0,0.06,1.18,65.9,41.0,2.1,28.8,79.5,11.1,0.06,,RaymKa00
126,Michael Gallup,27,DAL,WR,17,13,3.35,2.0,24.6,12.3,0.12,1.12,50.9,41.0,2.0,24.6,59.6,7.3,0.0,,GallMi00
128,Zay Jones,28,JAX,WR,9,7,7.11,3.78,35.7,9.4,0.22,1.56,43.8,36.0,3.8,35.7,53.1,5.0,0.0,,JoneZa00
130,Allen Robinson,30,PIT,WR,17,17,2.88,2.0,16.5,8.2,0.0,0.53,44.9,31.0,2.0,16.5,69.4,5.7,0.0,,RobiAl02
131,Noah Brown,27,HOU,WR,10,7,5.5,3.3,56.7,17.2,0.2,2.4,52.7,75.0,3.3,56.7,60.0,10.3,0.0,,BrowNo00
134,DeVante Parker,30,NWE,WR,13,13,4.23,2.54,30.3,11.9,0.0,1.31,49.1,30.0,2.5,30.3,60.0,7.2,0.0,,ParkDe01
135,Rashod Bateman,24,BAL,WR,16,12,3.5,2.0,22.9,11.5,0.06,1.25,50.0,29.0,2.0,22.9,57.1,6.6,0.0,,BateRa00
138,Alec Pierce,23,IND,WR,17,16,3.82,1.88,30.2,16.1,0.12,1.41,46.2,58.0,1.9,30.2,49.2,7.9,0.0,,PierAl00
142,Darnell Mooney,26,CHI,WR,15,14,4.07,2.07,27.6,13.4,0.07,1.33,41.0,41.0,2.1,27.6,50.8,6.8,0.0,,MoonDa00
151,Brandon Powell,28,MIN,WR,17,2,2.59,1.71,19.1,11.2,0.06,1.06,50.0,28.0,1.7,19.1,65.9,7.4,0.06,,PoweBr00
152,JuJu Smith-Schuster,27,NWE,WR,11,7,4.27,2.64,23.6,9.0,0.09,1.18,42.6,37.0,2.6,23.6,61.7,5.5,0.0,,SmitJu00
157,Christian Watson,24,GNB,WR,9,9,5.89,3.11,46.9,15.1,0.56,2.22,50.9,77.0,3.1,46.9,52.8,8.0,0.0,,WatsCh00
158,Nick Westbrook-Ikhine,26,TEN,WR,14,9,3.21,2.0,26.4,13.2,0.21,1.29,57.8,33.0,2.0,26.4,62.2,8.2,0.0,,WestNi00
160,Braxton Berrios,28,MIA,WR,16,1,2.06,1.69,14.9,8.8,0.06,0.94,57.6,22.0,1.7,14.9,81.8,7.2,0.06,,BerrBr00
167,Kadarius Toney,24,KAN,WR,13,2,2.92,2.08,13.0,6.3,0.08,0.92,44.7,18.0,2.1,13.0,71.1,4.4,0.08,,ToneKa00
168,Justin Watson,27,KAN,WR,16,8,3.31,1.69,28.8,17.0,0.19,1.31,50.9,41.0,1.7,28.8,50.9,8.7,0.06,,WatsJu01
169,Demarcus Robinson,29,LAR,WR,16,4,2.44,1.63,23.2,14.3,0.25,1.25,59.0,37.0,1.6,23.2,66.7,9.5,0.13,,RobiDe01
172,Trenton Irwin,28,CIN,WR,16,5,2.0,1.56,19.8,12.6,0.06,0.94,59.4,32.0,1.6,19.8,78.1,9.9,0.13,,IrwiTr00
176,Hunter Renfrow,28,LVR,WR,17,3,2.18,1.47,15.0,10.2,0.0,0.65,40.5,38.0,1.5,15.0,67.6,6.9,0.06,,RenfHu00
177,Greg Dortch,25,ARI,WR,16,4,2.56,1.5,17.5,11.7,0.13,0.88,48.8,38.0,1.5,17.5,58.5,6.8,0.0,,DortGr01
178,Jameson Williams,22,DET,WR,12,10,3.5,2.0,29.5,14.8,0.17,1.17,47.6,63.0,2.0,29.5,57.1,8.4,0.08,,WillJa11
183,Jalin Hyatt,22,NYG,WR,17,7,2.35,1.35,21.9,16.2,0.0,0.65,47.5,58.0,1.4,21.9,57.5,9.3,0.06,,HyatJa00
184,Allen Lazard,28,NYJ,WR,14,12,3.5,1.64,22.2,13.5,0.07,1.21,40.8,39.0,1.6,22.2,46.9,6.3,0.0,,LazaAl00
188,Marvin Mims,21,DEN,WR,16,7,2.06,1.38,23.6,17.1,0.06,0.56,48.5,60.0,1.4,23.6,66.7,11.4,0.13,PBAP-2,MimsMa00
189,Chris Moore,30,TEN,WR,17,5,2.06,1.29,24.9,19.3,0.0,0.94,54.3,49.0,1.3,24.9,62.9,12.1,0.06,,MoorCh00
192,Jalen Tolbert,24,DAL,WR,17,6,2.12,1.29,15.8,12.2,0.12,0.76,55.6,45.0,1.3,15.8,61.1,7.4,0.06,,TolbJa00
194,Cedrick Wilson Jr.,28,MIA,WR,15,3,2.53,1.47,19.7,13.5,0.2,0.93,47.4,31.0,1.5,19.7,57.9,7.8,0.0,,WilsCe01
197,Xavier Gipson,22,NYJ,WR,17,3,2.24,1.24,13.5,10.9,0.0,0.53,34.2,36.0,1.2,13.5,55.3,6.0,0.29,,GipsXa00
198,Isaiah Hodgins,25,NYG,WR,17,9,1.94,1.24,13.5,11.0,0.18,0.71,63.6,24.0,1.2,13.5,63.6,7.0,0.06,,HodgIs00
199,Skyy Moore,23,KAN,WR,14,8,2.71,1.5,17.4,11.6,0.07,0.93,44.7,54.0,1.5,17.4,55.3,6.4,0.0,,MoorSk01
201,Cedric Tillman,23,CLE,WR,14,3,3.14,1.5,16.0,10.7,0.0,0.86,40.9,23.0,1.5,16.0,47.7,5.1,0.0,,TillCe01
202,Marquez Valdes-Scantling,29,KAN,WR,16,10,2.63,1.31,19.7,15.0,0.06,0.88,40.5,46.0,1.3,19.7,50.0,7.5,0.06,,ValdMa00
203,Parris Campbell,26,NYG,WR,12,3,2.25,1.67,8.67,5.2,0.0,0.17,37.0,17.0,1.7,8.7,74.1,3.9,0.0,,CampPa00
205,Van Jefferson,27,2TM,WR,17,9,2.53,1.18,12.3,10.5,0.0,0.59,37.2,46.0,1.2,12.3,46.5,4.9,0.0,,JeffVa00
206,Van Jefferson,27,LAR,WR,5,4,3.0,1.6,21.6,13.5,0.0,0.8,33.3,46.0,1.6,21.6,53.3,7.2,0.0,,JeffVa00
207,Van Jefferson,27,ATL,WR,12,5,2.33,1.0,8.42,8.4,0.0,0.5,39.3,14.0,1.0,8.4,42.9,3.6,0.0,,JeffVa00
210,Jake Bobo,25,SEA,WR,17,0,1.47,1.12,11.5,10.3,0.12,0.53,60.0,31.0,1.1,11.5,76.0,7.8,0.0,,BoboJa00
211,Jauan Jennings,26,SFO,WR,13,2,2.54,1.46,20.4,13.9,0.08,0.92,48.5,31.0,1.5,20.4,57.6,8.0,0.0,,JennJa00
212,Brandon Johnson,25,DEN,WR,13,2,2.31,1.46,21.8,14.9,0.31,0.92,60.0,50.0,1.5,21.8,63.3,9.5,0.0,,JohnBr23
213,Terrace Marshall Jr.,23,CAR,WR,9,4,3.67,2.11,15.4,7.3,0.0,0.89,45.5,14.0,2.1,15.4,57.6,4.2,0.11,,MarsTe00
215,Tre Tucker,22,LVR,WR,16,1,2.13,1.19,20.7,17.4,0.13,0.75,41.2,50.0,1.2,20.7,55.9,9.7,0.0,,TuckTr00
216,Mike Williams,29,LAC,WR,3,3,8.67,6.33,83.0,13.1,0.33,3.0,53.8,49.0,6.3,83.0,73.1,9.6,0.0,,WillMi07
218,Mack Hollins,30,ATL,WR,13,3,2.31,1.38,19.3,13.9,0.0,0.69,46.7,45.0,1.4,19.3,60.0,8.4,0.0,,HollMa00
223,Calvin Austin III,24,PIT,WR,17,1,1.76,1.0,10.6,10.6,0.06,0.41,40.0,72.0,1.0,10.6,56.7,6.0,0.12,,AustCa00
231,Tyler Scott,22,CHI,WR,17,4,1.88,1.0,9.88,9.9,0.0,0.59,43.8,30.0,1.0,9.9,53.1,5.3,0.06,,ScotTy00
232,Deven Thompkins,24,TAM,WR,17,1,1.47,1.0,4.88,4.9,0.06,0.29,32.0,26.0,1.0,4.9,68.0,3.3,0.18,,ThomDe07
234,Treylon Burks,23,TEN,WR,11,9,2.73,1.45,20.1,13.8,0.0,0.73,43.3,70.0,1.5,20.1,53.3,7.4,0.0,,BurkTr00
235,Jamison Crowder,30,WAS,WR,17,0,1.18,0.94,9.35,9.9,0.06,0.47,60.0,26.0,0.9,9.4,80.0,8.0,0.12,,CrowJa00
236,Alex Erickson,31,LAC,WR,8,3,3.63,2.0,29.0,14.5,0.13,1.5,48.3,27.0,2.0,29.0,55.2,8.0,0.0,,EricAl01
237,Bo Melton,24,GNB,WR,5,1,4.8,3.2,43.6,13.6,0.2,2.6,62.5,37.0,3.2,43.6,66.7,9.1,0.0,,MeltBo00
238,John Metchie,23,HOU,WR,16,0,1.88,1.0,9.88,9.9,0.0,0.44,43.3,22.0,1.0,9.9,53.3,5.3,0.0,,MetcJo00
241,Parker Washington,21,JAX,WR,9,1,2.33,1.78,14.7,8.3,0.22,0.56,52.4,19.0,1.8,14.7,76.2,6.3,0.22,,WashPa01
244,Derius Davis,23,LAC,WR,17,2,1.0,0.88,3.88,4.4,0.0,0.0,23.5,18.0,0.9,3.9,88.2,3.9,0.18,AP-2,DaviDe02
245,Deonte Harty,26,BUF,WR,16,1,1.31,0.94,9.38,10.0,0.06,0.56,52.4,43.0,0.9,9.4,71.4,7.1,0.13,,HarrDe07
246,Malik Heath,23,GNB,WR,13,1,1.85,1.15,9.62,8.3,0.08,0.46,41.7,16.0,1.2,9.6,62.5,5.2,0.0,,HeatMa00
248,Andrei Iosivas,24,CIN,WR,16,1,1.56,0.94,7.25,7.7,0.25,0.69,60.0,16.0,0.9,7.3,60.0,4.6,0.0,,IosiAn00
249,Kyle Philips,24,TEN,WR,9,0,2.44,1.67,20.1,12.1,0.0,1.0,50.0,29.0,1.7,20.1,68.2,8.2,0.11,,PhilKy01
250,Quez Watkins,25,PHI,WR,9,5,2.33,1.67,15.8,9.5,0.11,0.89,61.9,19.0,1.7,15.8,71.4,6.8,0.0,,WatkQu00
252,Mecole Hardman,25,2TM,WR,11,2,2.18,1.36,11.3,8.3,0.0,0.73,50.0,37.0,1.4,11.3,62.5,5.2,0.09,,HardMe00
253,Mecole Hardman,25,NYJ,WR,5,0,0.6,0.2,1.2,6.0,0.0,0.0,33.3,6.0,0.2,1.2,33.3,2.0,0.0,,HardMe00
254,Mecole Hardman,25,KAN,WR,6,2,3.5,2.33,19.7,8.4,0.0,1.33,52.4,37.0,2.3,19.7,66.7,5.6,0.17,,HardMe00
255,Jamal Agnew,28,JAX,WR,11,1,1.91,1.27,20.5,16.1,0.09,0.73,57.1,65.0,1.3,20.5,66.7,10.7,0.09,,AgneJa00
256,David Bell,23,CLE,WR,15,3,1.53,0.93,11.1,11.9,0.2,0.6,47.8,41.0,0.9,11.1,60.9,7.3,0.0,,BellDa02
260,KhaDarel Hodge,28,ATL,WR,17,4,1.35,0.82,13.6,16.6,0.0,0.76,60.9,52.0,0.8,13.6,60.9,10.1,0.06,,HodgKh00
262,Byron Pringle,30,WAS,WR,17,1,1.29,0.82,9.47,11.5,0.0,0.41,40.9,26.0,0.8,9.5,63.6,7.3,0.06,,PrinBy00
268,Lil'Jordan Humphrey,25,DEN,WR,17,8,1.12,0.76,9.53,12.5,0.18,0.53,63.2,54.0,0.8,9.5,68.4,8.5,0.0,,HumpLi01
271,Tyquan Thornton,23,NWE,WR,9,3,2.56,1.44,10.1,7.0,0.0,0.33,17.4,15.0,1.4,10.1,56.5,4.0,0.0,,ThorTy00
273,Donovan Peoples-Jones,24,2TM,WR,15,6,1.67,0.87,10.3,11.9,0.0,0.47,40.0,29.0,0.9,10.3,52.0,6.2,0.07,,PeopDo00
274,Donovan Peoples-Jones,24,CLE,WR,7,5,2.57,1.14,13.9,12.1,0.0,0.57,38.9,29.0,1.1,13.9,44.4,5.4,0.14,,PeopDo00
275,Donovan Peoples-Jones,24,DET,WR,8,1,0.88,0.63,7.25,11.6,0.0,0.38,42.9,20.0,0.6,7.3,71.4,8.3,0.0,,PeopDo00
276,Dyami Brown,24,WAS,WR,17,1,1.35,0.71,9.88,14.0,0.06,0.47,47.8,35.0,0.7,9.9,52.2,7.3,0.0,,BrowDy00
278,Ray-Ray McCloud,27,SFO,WR,12,1,1.25,1.0,11.3,11.3,0.0,0.58,66.7,41.0,1.0,11.3,80.0,9.0,0.08,,McClRa00
279,A.T. Perry,24,NOR,WR,10,3,1.8,1.2,24.6,20.5,0.4,1.0,61.1,44.0,1.2,24.6,66.7,13.7,0.0,,PerrAT00
281,KaVontae Turpin,27,DAL,WR,16,0,1.13,0.75,7.94,10.6,0.19,0.56,61.1,34.0,0.8,7.9,66.7,7.1,0.06,,TurpKa00
286,Lynn Bowden Jr.,26,NOR,WR,15,3,1.07,0.73,5.53,7.5,0.0,0.13,37.5,17.0,0.7,5.5,68.8,5.2,0.07,,BowdLy00
288,Julio Jones,34,PHI,WR,11,4,1.73,1.0,6.73,6.7,0.27,0.36,31.6,22.0,1.0,6.7,57.9,3.9,0.0,,JoneJu02
289,Tim Jones,25,JAX,WR,17,2,1.06,0.65,4.88,7.5,0.0,0.24,38.9,15.0,0.6,4.9,61.1,4.6,0.0,,JoneTi00
290,Isaiah McKenzie,28,IND,WR,13,2,1.08,0.85,6.31,7.5,0.0,0.31,35.7,30.0,0.8,6.3,78.6,5.9,0.23,,McKeIs00
291,Scott Miller,26,ATL,WR,17,0,0.94,0.65,9.47,14.6,0.12,0.35,50.0,56.0,0.6,9.5,68.8,10.1,0.0,,MillSc01
292,Trent Sherfield,27,BUF,WR,17,1,1.29,0.65,5.06,7.8,0.06,0.24,40.9,12.0,0.6,5.1,50.0,3.9,0.0,,SherTr00
298,Jalen Guyton,26,LAC,WR,8,3,2.63,1.25,11.1,8.9,0.13,0.75,38.1,18.0,1.3,11.1,47.6,4.2,0.0,,GuytJa01
300,Richie James,28,KAN,WR,9,1,1.56,1.11,12.7,11.4,0.0,0.56,57.1,45.0,1.1,12.7,71.4,8.1,0.22,,JameRi00
303,Laviska Shenault Jr.,25,CAR,WR,8,0,1.25,1.25,7.5,6.0,0.0,0.25,30.0,14.0,1.3,7.5,100.0,6.0,0.13,,ShenLa00
304,Sterling Shepard,30,NYG,WR,15,2,1.47,0.67,3.8,5.7,0.07,0.27,22.7,13.0,0.7,3.8,45.5,2.6,0.07,,ShepSt00
306,Olamide Zaccheaus,26,PHI,WR,17,1,1.18,0.59,9.65,16.4,0.12,0.41,50.0,34.0,0.6,9.6,50.0,8.2,0.0,,ZaccOl01
307,River Cracraft,29,MIA,WR,10,1,1.2,0.9,12.1,13.4,0.1,0.8,66.7,24.0,0.9,12.1,75.0,10.1,0.0,,CracRi00
315,Xavier Hutchinson,23,HOU,WR,16,0,1.19,0.5,5.63,11.3,0.0,0.19,21.1,34.0,0.5,5.6,42.1,4.7,0.0,,HutcXa00
319,Ben Skowronek,26,LAR,WR,17,0,0.71,0.47,3.88,8.3,0.06,0.18,41.7,20.0,0.5,3.9,66.7,5.5,0.0,,SkowBe00
320,Ihmir Smith-Marsette,24,CAR,WR,17,0,0.59,0.47,3.0,6.4,0.0,0.29,50.0,18.0,0.5,3.0,80.0,5.1,0.12,,SmitIh00
321,Samori Toure,25,GNB,WR,11,0,1.64,0.73,7.09,9.8,0.0,0.36,27.8,35.0,0.7,7.1,44.4,4.3,0.09,,TourSa00
