Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
42,Keenan Allen,30,LAC,WR,10,10,8.9,6.6,75.2,3.9,48.9,7.4,26.3,4.0,8.6,0.1,66.0,0.2,2.2,0.2,104.7,,AlleKe00
43,DeAndre Hopkins,30,ARI,WR,9,9,10.7,7.11,79.7,3.89,61.3,8.6,18.3,2.6,10.2,0.11,64.0,0.56,5.2,0.33,86.2,,HopkDe00
44,Curtis Samuel,26,WAS,WR,17,12,5.41,3.76,38.6,2.12,21.6,5.7,17.0,4.5,6.7,0.47,8.0,0.29,5.4,0.12,95.2,,SamuCu00
45,Courtland Sutton,27,DEN,WR,15,15,7.27,4.27,55.3,2.53,45.1,10.6,10.1,2.4,12.3,0.07,64.0,0.6,8.3,0.27,73.5,,SuttCo00
46,Parris Campbell,25,IND,WR,17,16,5.35,3.71,36.6,1.88,20.4,5.5,16.3,4.4,6.4,0.29,12.6,0.29,5.5,0.35,71.8,,CampPa00
48,D.J. Moore,25,CAR,WR,17,17,6.94,3.71,52.2,2.59,41.5,11.2,10.7,2.9,13.0,0.24,15.8,0.41,5.9,0.29,80.0,,MoorD.00
49,Mike Williams,28,LAC,WR,13,13,7.15,4.85,68.8,3.0,44.3,9.1,24.5,5.1,12.0,0.0,,0.08,1.1,0.15,104.0,,WillMi07
50,Donovan Peoples-Jones,23,CLE,WR,17,14,5.65,3.59,49.4,1.94,38.1,10.6,11.2,3.1,11.7,0.06,61.0,0.12,2.1,0.06,97.5,,PeopDo00
52,Allen Lazard,27,GNB,WR,15,15,6.67,4.0,52.5,3.0,36.0,9.0,16.5,4.1,12.5,0.07,60.0,0.4,6.0,0.33,84.1,,LazaAl00
54,K.J. Osborn,25,MIN,WR,17,9,5.29,3.53,38.2,1.88,20.6,5.8,17.6,5.0,8.3,0.18,20.0,0.12,2.2,0.12,97.0,,OsboKJ00
56,Tyler Boyd,28,CIN,WR,16,14,5.13,3.63,47.6,2.63,32.1,8.8,15.6,4.3,9.2,0.13,29.0,0.19,3.7,0.31,94.7,,BoydTy00
61,Brandin Cooks,29,HOU,WR,13,13,7.15,4.38,53.8,2.23,38.0,8.7,15.8,3.6,10.7,0.08,57.0,0.38,5.4,0.31,77.3,,CookBr00
62,Mack Hollins,29,LVR,WR,17,16,5.53,3.35,40.6,2.0,29.1,8.7,11.5,3.4,12.7,0.12,28.5,0.29,5.3,0.18,84.1,,HollMa00
63,Richie James,27,NYG,WR,17,4,4.12,3.35,33.5,1.71,23.1,6.9,10.4,3.1,7.2,0.06,57.0,0.18,4.3,0.0,119.6,,JameRi00
67,Deebo Samuel,26,SFO,WR,13,12,7.23,4.31,48.6,1.92,10.7,2.5,37.9,8.8,4.3,0.92,4.7,0.69,9.6,0.23,73.5,,SamuDe00
71,Robert Woods,30,TEN,WR,17,15,5.35,3.12,31.0,1.82,21.8,7.0,9.18,2.9,7.8,0.0,,0.24,4.4,0.18,68.3,,WoodRo02
72,Greg Dortch,24,ARI,WR,16,4,4.0,3.25,29.2,1.19,10.9,3.3,18.3,5.6,4.9,0.19,17.3,0.0,0.0,0.0,107.5,,DortGr01
74,George Pickens,21,PIT,WR,17,12,4.94,3.06,47.1,2.24,41.0,13.4,6.12,2.0,14.5,0.29,10.4,0.18,3.6,0.0,109.3,,PickGe00
75,Russell Gage,26,TAM,WR,13,4,5.38,3.92,32.8,2.38,19.6,5.0,13.2,3.4,5.5,0.15,25.5,0.23,4.3,0.0,112.0,,GageRu00
79,Gabriel Davis,23,BUF,WR,15,15,6.2,3.2,55.7,2.33,46.0,14.4,9.73,3.0,15.3,0.0,,0.6,9.7,0.4,80.8,,DaviGa01
81,Chris Moore,29,HOU,WR,16,7,4.63,3.0,34.3,1.5,17.8,5.9,16.4,5.5,8.8,0.13,24.0,0.13,2.7,0.19,79.1,,MoorCh00
